`0x43001160`; `Sound Options`
`0x43003cb1`; `Gold Data Disk: A gold data disk containing design schematics which will unlock a new weapon for purchase at vending kiosks.`
`0x43003cb9`; `Elevator to Office Complex`
`0x43003cba`; `Use the elevator to travel back up to the Saberling office complex.`
`0x43003cd4`; `Cluster Rifle Ammo Upgrade`
`0x43003cd5`; `Upgrade to ammunition capacity of the Cluster Rifle`
`0x43003cd6`; `Shot Bolter Ammo Upgrade`
`0x43003cd7`; `Upgrade to ammunition capacity of the Shot Bolter`
`0x43003cd8`; `Flame Thrower Ammo Upgrade`
`0x43003cd9`; `Upgrade to ammunition capacity of the Flame Thrower`
`0x43003cda`; `Freeze Gun Ammo Upgrade`
`0x43003cdb`; `Upgrade to ammunition capacity of the Freeze Gun`
`0x43003cdc`; `NanoHacker Ammo Upgrade`
`0x43003cdd`; `Upgrade to ammunition capacity of the NanoHacker`
`0x43003cde`; `Plasma Gun Ammo Upgrade`
`0x43003cdf`; `Upgrade to ammunition capacity of the Plasma Gun`
`0x43003ce0`; `Health Upgrade (Darwin)`
`0x43003ce1`; `Upgrade to Darwin's maximum health capacity`
`0x43003ce2`; `Health Upgrade (Mooch)`
`0x43003ce3`; `Upgrade to Mooch's maximum health capacity`
`0x43003ce4`; `Mooch Transmitter`
`0x43003ce5`; `Upgrade to the length of time Mooch can be deployed`
`0x43003ce6`; `Map Data`
`0x43003ce7`; `Silver Data Disk Map`
`0x43003ce8`; `Locations of all Silver Data Disks in your current location: "Saber Mansion"`
`0x43003ce9`; `Locations of all Silver Data Disks in your current location: "Saber Mansion"`
`0x43003cea`; `Locations of all Silver Data Disks in your current location: "Saberling Complex Basement"`
`0x43003ceb`; `Locations of all Silver Data Disks in your current location: "Saberling Design Offices"`
`0x43003cec`; `Locations of all Silver Data Disks in your current location: "Saberling Offices & Computer Center"`
`0x43003ced`; `Locations of all Silver Data Disks in your current location: "Saberling Computer Center"`
`0x43003cee`; `Locations of all Silver Data Disks in your current location: "Packing & Shipping"`
`0x43003cef`; `Locations of all Silver Data Disks in your current location: "Assembly Lines"`
`0x43003cf0`; `Locations of all Silver Data Disks in your current location: "Chip Manufacturing"`
`0x43003cf1`; `Locations of all Silver Data Disks in your current location: "Power Generator"`
`0x43003cf2`; `Locations of all Silver Data Disks in your current location: "Machine Processing"`
`0x43003cf3`; `Locations of all Silver Data Disks in your current location: "FBI HQ"`
`0x43003cf4`; `Locations of all Silver Data Disks in your current location: "FBI Special Victims Unit & Forensics"`
`0x43003cf5`; `Locations of all Silver Data Disks in your current location: "FBI Cybercrime & Computer Labs"`
`0x43003cf6`; `Locations of all Silver Data Disks in your current location: "FBI Armory & Training"`
`0x43003cf7`; `Locations of all Silver Data Disks in your current location: "FBI Rooftop & Heli-pad"`
`0x43003cf8`; `Locations of all Silver Data Disks in your current location: "Satellite Center Basement"`
`0x43003cf9`; `Locations of all Silver Data Disks in your current location: "Satellite Security"`
`0x43003cfa`; `Locations of all Silver Data Disks in your current location: "Satellite Dish"`
`0x43003cfb`; `Locations of all Silver Data Disks in your current location: "Satellite Control Area"`
`0x43003cfc`; `Locations of all Silver Data Disks in your current location: "Clusterstorm"`
`0x43003cfd`; `Detailed plans of your current location: "Saber Mansion"`
`0x43003cfe`; `Detailed plans of your current location: "Saber Mansion"`
`0x43003cff`; `Detailed plans of your current location: "Saberling Complex Basement"`
`0x43003d00`; `Detailed plans of your current location: "Saberling Design Offices"`
`0x43003d01`; `Detailed plans of your current location: "Saberling Offices & Computer Center"`
`0x43003d02`; `Detailed plans of your current location: "Saberling Computer Center"`
`0x43003d03`; `Detailed plans of your current location: "Packing & Shipping"`
`0x43003d04`; `Detailed plans of your current location: "Assembly Lines"`
`0x43003d05`; `Detailed plans of your current location: "Chip Manufacturing"`
`0x43003d06`; `Detailed plans of your current location: "Power Generator"`
`0x43003d07`; `Detailed plans of your current location: "Machine Processing"`
`0x43003d08`; `Detailed plans of your current location: "FBI HQ"`
`0x43003d09`; `Detailed plans of your current location: "FBI Special Victims Unit & Forensics"`
`0x43003d0a`; `Detailed plans of your current location: "FBI Cybercrime & Computer Labs"`
`0x43003d0b`; `Detailed plans of your current location: "FBI Armory & Training"`
`0x43003d0c`; `Detailed plans of your current location: "FBI Rooftop & Heli-pad"`
`0x43003d0d`; `Detailed plans of your current location: "Satellite Center Basement"`
`0x43003d0e`; `Detailed plans of your current location: "Satellite Security"`
`0x43003d0f`; `Detailed plans of your current location: "Satellite Dish"`
`0x43003d10`; `Detailed plans of your current location: "Satellite Control Area"`
`0x43003d11`; `Detailed plans of your current location: "Clusterstorm"`
`0x43003d12`; `Wi-Fi ACTIVE`
`0x43003d13`; `Wi-Fi INACTIVE`
`0x43003d14`; `Carry`
`0x43003d15`; `Garbage Chute: PULL`
`0x43003d16`; `Climate Control: COLD`
`0x43003d17`; `Climate Control: HOT`
`0x43003d18`; `Investigate Power Loss`
`0x43003d19`; `Find out why the control room has no power.`
`0x43003d1a`; `Use the emergency hatch to return to the control center.`
`0x43003d1b`; `New Upgrade Available!`
`0x43003d1c`; `New Weapon Available!`
`0x43003d1d`; `Cluster Rifle v2`
`0x43003d1e`; `Rapid fire plasma weapon with power attack function.`
`0x43003d1f`; `NanoHacker v2`
`0x43003d20`; `Uses nanotechnology to temporarily reprogram an enemy's SaberSense chip and turn them into your ally. Also effective on invulnerable enemies.`
`0x43003d21`; `Electro-Whip v2`
`0x43003d22`; `Short range electrical whip with attraction function and power attack.`
`0x43003d23`; `Map not available`
`0x43003d41`; `Use the Elevator`
`0x43003d42`; `Saber is on the upper floors of the building. Use the elevator to get to him.`
`0x43003d43`; `Ammo`
`0x43003d44`; `Health`
`0x43003d45`; `Kiosk`
`0x43003d46`; `Ammo Capacity`
`0x43003d47`; `Weapons and Upgrades`
`0x43003d48`; `Vending Kiosk: This machine can be used to buy ammunition, health, map data, upgrades and new weapons.`
`0x43003d49`; `Save Station: This machine can be used to save your progress.`
`0x43003d4c`; `Terminal (Awaiting Input): This terminal is active and can be used when standing close.`
`0x43003d4d`; `Terminal (Closed): This terminal has already been used and is no longer active.`
`0x43003d4e`; `Terminal AWAITING INPUT`
`0x43003d4f`; `Terminal CLOSED`
`0x43003d50`; `Hold <SB 1074266114> while facing the keycard to attract and carry it.`
`0x43003d51`; `Face the keycard reader and then press <SB 1074266114> to throw the keycard into it when the icon appears.`
`0x43003d52`; `Rescue Blaster!`
`0x43003d53`; `The Cluster Rifle is now available at the vending kiosk!`
`0x43003d54`; `The Cluster Rifle v2 is now available at the vending kiosk!`
`0x43003d55`; `The Shot Bolter is now available at the vending kiosk!`
`0x43003d56`; `The Electro-Whip Power Attack is now available at the vending kiosk!`
`0x43003d57`; `The Flame Thrower is now available at the vending kiosk!`
`0x43003d58`; `The Freeze Gun is now available at the vending kiosk!`
`0x43003d59`; `The NanoHacker is now available at the vending kiosk!`
`0x43003d5a`; `The NanoHacker v2 is now available at the vending kiosk!`
`0x43003d5b`; `Comm check. Agent Darwin, do you read me?`
`0x43003d5c`; `Reading you loud and clear Ben.`
`0x43003d5d`; `Excellent, let’s begin. I’ll be monitoring you throughout this training session but your PDA will provide you with all the information you’ll need. When you’re in the field it will be a vital piece of your mission equipment.`
`0x43003d5e`; `This is your PDA. It will provide important mission information throughout the game.`
`0x43003d5f`; `When you’re ready head through the exit door to begin.`
`0x43003d60`; `BEGIN`
`0x43003d61`; `Back`
`0x43003d62`; `Buy`
`0x43003d66`; `Obtain Flame Thrower Disk`
`0x43003d67`; `Juarez has found a gold data disk with blueprints for a Flame Thrower weapon in the Armory. Use this to melt the ice barriers in the area.`
`0x43003d68`; `Easy`
`0x43003d69`; `Challenging`
`0x43003d6a`; `Normal`
`0x43003d6b`; `Select your difficulty:`
`0x43003d6c`; `Gamma`
`0x43003d7a`; `Obtain Gold Data Disk`
`0x43003d7b`; `Get the 3 power cores needed to open the locking mechanism and retrieve the gold data disk.`
`0x43003d83`; `Free the Vacuum`
`0x43003d84`; `Free the vacuum from the frozen storage cupboard to gain access to the directors office.`
`0x43003d85`; `Retrieve the Keycard`
`0x43003d86`; `Retrieve the keycard from the supply office.`
`0x43003d88`; `Press  <SB 1074266160> to return to Darwin.`
`0x43003d89`; `Brightness`
`0x43003d8a`; `Terminal POWER SOURCE REQUIRED`
`0x43003d8b`; `Press  <SB 1074266118> re-center the camera.`
`0x43003d8c`; `Three different weapons can be assigned for quick access while playing.`
`0x43003d8d`; `To assign a weapon hold down <SB 1074266143>, <SB 1074266144> or <SB 1074266145> until the weapon assignment menu appears.`
`0x43003d8e`; `Select a weapon using <SB 1074266194> and then release the weapon button to assign it.`
`0x43003d8f`; `The NanoHacker can be used to temporarily convert a vulnerable enemy into your ally.`
`0x43003d90`; `Hold <SB 1074266153> while aiming the NanoHacker at an enemy until the hack is complete.`
`0x43003d91`; `Hold <SB 1074266153> while aiming the NanoHacker at an enemy then shake the Nunchuk until the hack is complete.`
`0x43003d92`; `Save stations can be used to save your progress.`
`0x43003d93`; `Stand close and hold <SB 1074266115> to use a save station.`
`0x43003d94`; `Vending kiosks can be used to buy maps, ammunition and health as well as new weapons and upgrades.`
`0x43003d95`; `Stand close and hold <SB 1074266115> to use a vending kiosk.`
`0x43003d96`; `New weapons and upgrades will only become available at kiosks once a gold or silver data disk has been found.`
`0x43003d97`; `Mooch can temporarily disable green lasers by shooting the emitter with the interference beam.`
`0x43003d98`; `The green lasers are linked to the security system. Crossing them will draw attention to you and activate security measures in that area.`
`0x43003d99`; `Lure the motion sensor laser into shooting the door but be careful to avoid the laser once it turns red.`
`0x43003d9a`; `The sound wave attack from the speakers is preventing you from progressing. You must obtain the speaker blueprints to get past. `
`0x43003d9b`; `Being spotted by a security camera can alert enemies in the area as well as seal doors. The camera’s security light will change colour when alerted, try to avoid them when possible.`
`0x43003d9c`; `Use the vortex from the ceiling fan to get over the fence.`
`0x43003d9d`; `Hold  <SB 1074266113> to hover out of the vortex and over the fence before you are damaged by the ceiling fan.`
`0x43003d9e`; `Hold  <SB 1074266113> to hover out of the vortex before you are damaged by the ceiling fan.`
`0x43003d9f`; `The Grapple can be used to pull you toward Saberlized speaker units.`
`0x43003da0`; `Equip the Grapple and aim at the speaker unit.`
`0x43003da1`; `Hold <SB 1074266153> while aiming at the speaker unit to be pulled toward it.`
`0x43003da2`; `Once attached to the speaker you can switch freely to use other weapons.`
`0x43003da3`; `Destroy the vent with one of your weapons.`
`0x43003da4`; `Charge the jetpack while hanging from the grapple to hover through the vent.`
`0x43003da6`; `Radioactive liquid causes damage and should be avoided.`
`0x43003da7`; `The pneumatic tubing can be used to quickly transport Darwin around the facility. Stand on a control button to select a destination and then step into the tube and press <SB 1074266115>`
`0x43003dab`; `Holo-disks can be attacked and damaged by enemies so will only last for a while.`
`0x43003dac`; `Mooch can carry Holo-disks by flying close and pressing <SB 1074266123>`
`0x43003daf`; `Use the interference beam on the door switch to exit the conference room and return to Darwin with the keycard.`
`0x43003db1`; `Shoot the temperature control switch to toggle the hot and cold gates.`
`0x43003db2`; `The Satellite Dishes are protecting the Torch with their shields. You must destroy the dishes before you can damage the Torch.`
`0x43003db3`; `Torch missiles can pass through shields – try attracting the missiles toward the satellite barriers.`
`0x43003db4`; `You must attract one of the Torch missiles to hit the satellite dish and bring down the shields. Once all the satellite dishes are destroyed the Torch will be vulnerable.`
`0x43003db5`; `The shields protecting the Torch are down – the Torch is now vulnerable.`
`0x43003db7`; `Use the jetpack to jump up and grab the handle to open the chute.`
`0x43003db8`; `Hit the elevator call button to let Blaster out.`
`0x43003dc8`; `Shoot the three weak spots in quick succession to blow up a cooling rod. To disable the cooling system all individual cooling units must be destroyed.`
`0x43003dc9`; `Security turrets are activated by triggering security lasers. Activated turrets can be temporarily disabled using Mooch’s interference beam or destroyed using other weapons.`
`0x43003dca`; `Use a Saberlized Fire Extinguisher to melt the ice and get up through the vent.`
`0x43003dcb`; `Use a Holo-disk to distract the Satellite Dish.`
`0x43003dcc`; `Restore Power To The Door`
`0x43003dcd`; `Restore power to the door and get to the factory offices.`
`0x43003dce`; `Restore Power to the Elevator`
`0x43003dcf`; `Use a Power Core to restore power to the delivery elevator and get to the factory offices.`
`0x43003dd0`; `This is better than bowling!`
`0x43003dd1`; `Now that was a thing of beauty.`
`0x43003dd2`; `If I keep doing that... we might just pull this mission off!`
`0x43003dd3`; `Nice. Three down... but how many more to go!`
`0x43003dd4`; `Whoa... did you guys catch that?`
`0x43003dd5`; `That's the way to rack up the numbers!`
`0x43003dd6`; `Oh... could use some more hits like that!`
`0x43003dd7`; `There we go!`
`0x43003dd8`; `Just gotta keep doing this...`
`0x43003dd9`; `They didn't see that coming.`
`0x43003dda`; `You wanted it... you got it!`
`0x43003ddb`; `Had enough?`
`0x43003ddc`; `How you like me in your face?`
`0x43003ddd`; `Want more? That can be arranged.`
`0x43003dde`; `And the hits keep coming!`
`0x43003ddf`; `Now that was pretty!`
`0x43003de0`; `Oh, did that ever look good.`
`0x43003de1`; `I do think I have the 'magic touch' with this whip.`
`0x43003de2`; `Just look at that! Good, hm?`
`0x43003de3`; `Oh, it didn't see that coming!`
`0x43003de4`; `There we go, one, two... and WHAM!`
`0x43003de5`; `Blaster, you catching my whip action? Eat your heart out. `
`0x43003de6`; `Now that was nice.`
`0x43003de7`; `This isn't combat... it's art!`
`0x43003de8`; `Slid that one right by it.`
`0x43003de9`; `Who's got the marshmallows?`
`0x43003dea`; `I'm afraid their warranties have been voided.`
`0x43003deb`; `This could be my new hobby.`
`0x43003dec`; `Oh... they do not like this at all.`
`0x43003ded`; `Hot stuff, hm team?`
`0x43003dee`; `Time to chill!`
`0x43003def`; `That thing's gonna need some de-icer. `
`0x43003df0`; `And that's how I take my appliances... frozen!`
`0x43003df1`; `Now than's... cool.`
`0x43003df2`; `Okay, that one is stopped cold!`
`0x43003df3`; `Now to keep moving before that one melts.`
`0x43003df4`; `And like that. It's stopped... Nice!`
`0x43003df5`; `Ya know... this is kinda fun!`
`0x43003df6`; `That one's done... for now!`
`0x43003df7`; `Wonder how long it will stay like that? Don't think I'll stick around and see.`
`0x43003df8`; `Now let's see how you play together.`
`0x43003df9`; `Time to sow some discord!`
`0x43003dfa`; `Let's see what this does now!`
`0x43003dfb`; `Let's watch them take each other out!`
`0x43003dfc`; `This is gonna be helpful!`
`0x43003dfd`; `Transport is transport, right?`
`0x43003dfe`; `Now this is fun!`
`0x43003dff`; `All set for the shootout at the appliance corral!`
`0x43003e00`; `Get this... it still is a light!`
`0x43003e01`; `We need one of these back at HQ!`
`0x43003e02`; `Gotta love the space age!`
`0x43003e03`; `Now that's protection big time!`
`0x43003e04`; `Now it's time to... dish it out!`
`0x43003e05`; `That satellite dish has my back!`
`0x43003e06`; `No question - satelitte has it way over cable!`
`0x43003e07`; `Now this is the way to clean.`
`0x43003e08`; `Ready to clean up this place.`
`0x43003e09`; `Who knew a vacuum could be so versatile?`
`0x43003e0a`; `I'm on the vacuum and ready to go!`
`0x43003e0b`; `Now all I need is a nice dirty rug.`
`0x43003e0c`; `Now this should be interesting.`
`0x43003e0d`; `Okay, even playing field now.`
`0x43003e0e`; `Two of us can play the bad appliance game.`
`0x43003e0f`; `This could be very helpful.`
`0x43003e10`; `Saberlizing... the only way to fly!`
`0x43003e11`; `Okay, now for step two.`
`0x43003e12`; `Hm, I do love this Saberlizer.`
`0x43003e13`; `Let's all see what happens next!`
`0x43003e14`; `Now that was cool!`
`0x43003e15`; `Think I could use one of these back in HQ!`
`0x43003e16`; `BAM! Do I have aim or what?`
`0x43003e17`; `It didn't see that one coming.`
`0x43003e18`; `That should buy me a few precious seconds.`
`0x43003e19`; `ZAP! And you are out... for now at least!`
`0x43003e1a`; `Oh, it does not like that!`
`0x43003e1b`; `Now this is a useful weapon!`
`0x43003e1c`; `I do believe I am on a roll.`
`0x43003e1d`; `Did you guys see that one? Sweet, hm?`
`0x43003e1e`; `Hit it where it hurts!`
`0x43003e1f`; `There we go! And it's out... for now at least.`
`0x43003e20`; `No web... but it sure does have legs.`
`0x43003e21`; `That's just wrong!`
`0x43003e22`; `I'll never bother another real spider ever again!`
`0x43003e23`; `So many legs. Least I have some targets!`
`0x43003e24`; `A computerized spider. What won't they think of next?`
`0x43003e25`; `Ouch. Lost a few hairs there!`
`0x43003e26`; `Whoa, that hurt!`
`0x43003e27`; `Anyone see a sprinkler nearby?`
`0x43003e28`; `Now that's hot!`
`0x43003e29`; `Ow, that was not fun!`
`0x43003e2a`; `Getting mighty cold here!`
`0x43003e2b`; `All iced up!`
`0x43003e2c`; `Big chill in the room team.`
`0x43003e2d`; `The fur helps... a little!`
`0x43003e2e`; `Now I could really use a flamethrower!`
`0x43003e2f`; `Arfgggh!... cough!`
`0x43003e30`; `Uh, what is that stuff?`
`0x43003e31`; `I can't breathe that stuff!`
`0x43003e32`; `This is worse than a furball!`
`0x43003e33`; `Now that smells really bad!`
`0x43003e34`; `Hey. Just got zapped here.`
`0x43003e35`; `Now this is dangerous!`
`0x43003e36`; `One more zap and I am in trouble big time!`
`0x43003e37`; `That was a bad move!`
`0x43003e38`; `I think I'm starting to glow, and not in a good way!`
`0x43003e39`; `I'm caught in the bubble!`
`0x43003e3a`; `Now this is a close shave!`
`0x43003e3b`; `Ya know... I didn't get training for this kind of a problem!`
`0x43003e3c`; `I always thought shaving was a bad idea!`
`0x43003e3d`; `A bubble... and the word sounds so harmless!`
`0x43003e3e`; `Whoa, slippery slope ahead!`
`0x43003e3f`; `Hey, I can't walk on this!`
`0x43003e40`; `Arrrrgh... the floor just turned real slick, team!`
`0x43003e41`; `Gotta stay away from that stuff!`
`0x43003e42`; `I'm moving. Just not in the direction I want to go!`
`0x43003e43`; `Sticky situation!`
`0x43003e44`; `This is gonna slow me down.`
`0x43003e45`; `I think I'm stuck... for real!`
`0x43003e46`; `Wished I had dodged that goo!`
`0x43003e47`; `This will really mess with my fur!`
`0x43003e48`; `I'm toast if that thing get its way.`
`0x43003e49`; `Heat just got turned up a bit here!`
`0x43003e4a`; `Whew! Getting way too warm!`
`0x43003e4b`; `I'd pull the plug on this toaster... if I saw one!`
`0x43003e4c`; `What I wouldn't give for a loaf of sliced bread...`
`0x43003e4d`; `Cornered by a vacuum here!`
`0x43003e4e`; `It’s me against the vacuum, team!`
`0x43003e4f`; `Looks like I'm cornered!`
`0x43003e50`; `Now I definitely need a plan B!`
`0x43003e51`; `I never want to see a vacuum again.`
`0x43003e52`; `Advantage to the appliances, I'm afraid. Got to turn it around.`
`0x43003e53`; `In trouble here guys.`
`0x43003e54`; `Oh that wasn't good...`
`0x43003e55`; `I'm still in it guys... for now.`
`0x43003e56`; `Got to turn this around.`
`0x43003e57`; `No way am I lying down here!`
`0x43003e58`; `Okay, can't let the hits distract me. but it's getting hard...`
`0x43003e59`; `No way - they can't be that good!`
`0x43003e5a`; `Down to my last hand team. `
`0x43003e5b`; `Ahhh... not looking good at all here...`
`0x43003e5c`; `Wish I had some skates!`
`0x43003e5d`; `Things just turned slippery here.`
`0x43003e5e`; `My paws move. Just not where I point them!`
`0x43003e5f`; `Any more ice and I won't be able to get anywhere!`
`0x43003e60`; `Whoa, this is not the way to move on this!`
`0x43003e61`; `Ouch... that stung.`
`0x43003e62`; `Too close that one... as in it hit me.`
`0x43003e63`; `Ow... now that's personal.`
`0x43003e64`; `It got me! `
`0x43003e65`; `Whoa, now I'm mad.`
`0x43003e66`; `Yikes... that thing is good.`
`0x43003e67`; `I'm gonna have to be careful...`
`0x43003e68`; `Barely nicked me... this time.`
`0x43003e69`; `That thing actually hit me!`
`0x43003e6a`; `Whoa, that's not nice. Payback on its way.`
`0x43003e6b`; `Not feeling so good here.`
`0x43003e6c`; `Slowing down team!`
`0x43003e6d`; `Got to get some energy and fast!`
`0x43003e6e`; `Wind's out of my sails... and tail... and here!`
`0x43003e6f`; `Feeling a bit weak.`
`0x43003e70`; `Not going good here team... health a bit low!`
`0x43003e71`; `This mission's taken its toll.`
`0x43003e72`; `Whew, feeling a little wiped here.`
`0x43003e73`; `Got to get my mojo back. Some juicy pellets would be nice.`
`0x43003e74`; `Just an FYI! Not feeling A-Okay team.`
`0x43003e75`; `Things getting hotter here team!`
`0x43003e76`; `Now that really hurt!`
`0x43003e77`; `Don't worry - but taking some hits here.`
`0x43003e78`; `Ah - didn't see that one!`
`0x43003e79`; `That was just luck... bad luck!`
`0x43003e7a`; `Don't worry - still okay here. `
`0x43003e7b`; `Arrrr! Okay, team... I gotta stay focused here.`
`0x43003e7c`; `Still mobile here - gotta keep my eyes open.`
`0x43003e7d`; `Gotta turn this around here.`
`0x43003e7e`; `What's a few hits more or less. Though less would be a lot better.`
`0x43003e7f`; `Remember, every Saberling appliance comes with the world famous guarantee of safety!`
`0x43003e80`; `You will be amazed as your Saberling appliances take you into a wonderful future!`
`0x43003e81`; `Don't forget, Saberling appliances make the perfect gift for every occasion!`
`0x43003e82`; `Saberling - a name that stands for innovation and quality!`
`0x43003e83`; `You can never go wrong when you purchase a Saberling appliance!`
`0x43003e84`; `Check out the new line of Saberling appliances, each and everyone fitted with cutting edge Sabersense!`
`0x43003e85`; `Saberling, where home appliances are all part of the good life!`
`0x43003e86`; `Saberling's new toaster does more than just make toast! `
`0x43003e87`; `Every Saberling appliance is designed to last years and years! `
`0x43003e88`; `The Saberling Guarantee... Quality and Safety!`
`0x43003e89`; `Saberling, where today's innovation is tomorrow's product!`
`0x43003e8a`; `Saberling Worldwide. A Company of people who really care!`
`0x43003e8b`; `Imagine a waffle maker that can think! It's here now... from Saberling!`
`0x43003e8c`; `Once you buy a Saberling appliance, you'll never try another brand again!`
`0x43003e8d`; `Welcome to the wonderful world of Saberling, where the future is now!`
`0x43003e8e`; `What does a satellite have to do with making coffee? Try the new Saberling Roastmaster General and taste the difference!`
`0x43003e8f`; `From office products to kitchenware, Saberling is the only name you need trust!`
`0x43003e90`; `When it's holiday time, Saberling appliances makes every home festive!`
`0x43003e91`; `Saberling's Mix Magic is so powerful that you'd never call it simply a blender!`
`0x43003e92`; `Saberling Global - bringing the best American technology to a grateful world!`
`0x43003e93`; `Reminder: There are only five days left for emplyees to file for the transportation refund.`
`0x43003e94`; `Employee birthdays today include Mike Smith, from Chip Production, and Laura Hunt from Shipping. A big Happy Birthday to you both!`
`0x43003e95`; `Those employees wishing 401K deductions must file their request no later than this Monday!`
`0x43003e96`; `The annual Saberling Company Picnic is only two weeks away. Please sign up in the cafeteria!`
`0x43003e97`; `Those employees wishing to speak to the representative from the company credit union should come down to the union office during their break.`
`0x43003e98`; `Attention! This year's retirement party will take place at the Santa Rosita Country Club.`
`0x43003e99`; `All medical forms must be filed with the company's Human Resources office within 7 days of any doctor visits.`
`0x43003e9a`; `New positions in the Saberling family have been posted on all department message boards. Thank you!`
`0x43003e9b`; `Please note: invoices for overtime will not be apporved unless co-signed by your sector manager.`
`0x43003e9c`; `The new regulations regarding employee pension accounts go into effect today. If you have any questions, please see your friendly HR office.`
`0x43003e9d`; `It's Employee of the Month time again, and for Chip Production, it's ... Martin Bridger!`
`0x43003e9e`; `Please congratulate the employee of the month for Shipping, Mallard Quackmore!`
`0x43003e9f`; `The Employee of the Month for Catering is none other than Rolf Basin, assistant chef!`
`0x43003ea0`; `The Employee of the Month for Production is assembly line chief Harley Geen.`
`0x43003ea1`; `For those that ordered them, please pick up the new Entertainment Books in the cafeteria. `
`0x43003ea2`; `The TGIF for the Billing Department has been cancelled, repeat cancelled.`
`0x43003ea3`; `The Saberling Rockets will play their first game of the season against the Moose Inn Sluggers this Saturday. Come out and cheer your company softball team on!`
`0x43003ea4`; `Good news! Charley Toole of Monorail Mainetnance is recovering nicely from his fall last weekend. We all wish Charley a speedy recovery!`
`0x43003ea5`; `Please note! Today's weekly non-denominational religious service has been moved to storeroom B due to the union meeting!`
`0x43003ea6`; `Have you seen a Saberling employee going beyond the call of duty? Nominate a 'Saberling Star' today!`
`0x43003ea7`; `All employees are reminded to file their F101 tax forms this Friday.`
`0x43003ea8`; `Just a reminder, safety begins with... Y... O... U!`
`0x43003ea9`; `Saberling will be providing free water for all employees starting next week!`
`0x43003eaa`; `Caution! Remember to keep your safety checklist up to date!`
`0x43003eab`; `Today is the 102nd day at this facility without an accident. Keep it up!`
`0x43003eac`; `Any employee needing access to restricted areas must file a request with that section's safety manager.`
`0x43003ead`; `Please report any hazardous situations, no matter how small. Thank you and have a great day!`
`0x43003eae`; `Attention! All employee cars must carry a Saberling Parking sticker or they will be towed!`
`0x43003eaf`; `The meeting of Local Appliance Workers Union 451 will meet today in the main cafeteria during all lunch shifts.`
`0x43003eb0`; `Maintenance will be working on elevator maintenance in sectors 2 and 3 of the Main Production Facility. All staircaes will be working normally.`
`0x43003eb1`; `Things are getting hot here.`
`0x43003eb2`; `This is not going to be easy.`
`0x43003eb3`; `Oh this is going to be fun.`
`0x43003eb4`; `Could things get better?`
`0x43003eb5`; `Think I have my hands full here.`
`0x43003eb6`; `What will they think of next?`
`0x43003eb7`; `I think... I'm in a bit of trouble.`
`0x43003eb8`; `Time to kick things up a notch here`
`0x43003eb9`; `You guys see this? Looks like it's showtime!`
`0x43003eba`; `Now this is one of those times I do wish Blaster was here.`
`0x43003ebb`; `What did I do to deserve this?`
`0x43003ebc`; `How come I get all the perks?`
`0x43003ebd`; `I'll never look at an appliance in the same way.`
`0x43003ebe`; `Suggestions welcome, team!`
`0x43003ebf`; `This area's gonna get messy!`
`0x43003ec0`; `Not sure I like the odds here!`
`0x43003ec1`; `I am so glad I've trained for this. Well maybe not exactly...`
`0x43003ec2`; `How could an appliance look so... nasty?`
`0x43003ec3`; `Okay, it's strategy time... as in staying alive!`
`0x43003ec4`; `If you see anything come up behind me... let me know!`
`0x43003ec5`; `Get outta here!`
`0x43003ec6`; `Go way fly!`
`0x43003ec7`; `Scram!`
`0x43003ec8`; `Uggh…hate flies.`
`0x43003ec9`; `Shoo out of here!`
`0x43003eca`; `Get outta my face!`
`0x43003ecb`; `Go find some decayed food somewhere!`
`0x43003ecc`; `Bleagghh! Leave me alone!`
`0x43003ecd`; `Go away fly!`
`0x43003ece`; `Fly... go fly!`
`0x43003ecf`; `Whoa, now that was a close one!`
`0x43003ed0`; `Think I'm flying under the radar again!`
`0x43003ed1`; `Okay, dodged some unwanted attention this time!`
`0x43003ed2`; `Think I'm all clear again here.`
`0x43003ed3`; `Looking better here. Back to stealth mode team!`
`0x43003ed4`; `Phew, nearly got targetted there!`
`0x43003ed5`; `All okay now, but I gotta be careful!`
`0x43003ed6`; `Hey, think I'm okay here!`
`0x43003ed7`; `Glad to report no 'eyes' on my current position!`
`0x43003ed8`; `Now that was a too 'close contact'!`
`0x43003ed9`; `Think I've been spotted!`
`0x43003eda`; `Ooops, I've been seen team!`
`0x43003edb`; `Bad news... spotted here and stealth is no longer an option!`
`0x43003edc`; `Ooops, been spotted here!`
`0x43003edd`; `Fraid my position's been compromised!`
`0x43003ede`; `Think I can forget any stealth for now!`
`0x43003edf`; `Don't think I'm under the radar anymore!`
`0x43003ee0`; `I've just been targetted team!`
`0x43003ee1`; `Looks like I'm out in the open now. Not a good place to be!`
`0x43003ee2`; `I've been located team!`
`0x43003f92`; `Down one RDV team!`
`0x43003f93`; `Gonna need some new wheels!`
`0x43003f94`; `That shot finishes us!`
`0x43003f95`; `We're done for!`
`0x43003f96`; `This ride is over!`
`0x43003f97`; `Looks like this is our last stop!`
`0x43003f98`; `We just ran out of luck team!`
`0x43003f99`; `Hold on - this RDV is down for the count!`
`0x43003f9a`; `Get ready to stop now!`
`0x43003f9b`; `Going to need some new transport a.s.a.p!`
`0x43003f9c`; `Um, anyone wanna get out and push?`
`0x43003f9d`; `Least we're conserving fuel.`
`0x43003f9e`; `I think I can walk faster!`
